country,china,netherlands,germany,turkey,usa,belarus,uk,jorea,italy,france,kazakhstan,japan,poland,vietnam,finland,india,belgium,ukraine,brazil,czech republic,spain,uzbekistan,switzerland,austria,slovakia,indonesia,sweden,taiwan,azerbaijan
jan 2006,"1,197.0","2,252.5","2,074.3",946.0,459.7,869.1,733.8,139.3,"2,019.9",550.4,374.0,313.6,874.3,20.3,500.4,137.0,116.8,"1,173.9",58.2,397.5,330.2,39.9,771.4,233.1,423.7,12.0,122.2,97.5,71.1
feb 2006,947.2,"2,124.9","2,123.6",881.5,530.0,963.2,"1,059.0",216.4,"1,937.8",488.6,541.8,281.4,813.4,30.0,794.4,134.8,198.5,"1,213.7",52.9,318.9,105.7,74.2,842.6,205.4,417.3,10.7,177.4,84.9,100.2
mar 2006,"1,114.8","2,500.3","2,039.7","1,037.1",546.0,"1,087.2",672.2,190.6,"2,283.2",735.2,685.1,350.2,908.7,17.8,758.4,208.1,199.7,"1,346.7",71.6,339.1,298.7,110.6,"1,000.6",278.6,487.5,13.0,233.4,98.7,107.6
apr 2006,"1,355.2","2,916.2","2,090.7","1,188.3",623.7,"1,084.7",713.3,173.3,"2,007.5",579.7,598.2,307.1,933.2,15.7,807.7,246.9,311.3,961.5,44.1,392.5,169.2,78.9,"1,009.5",333.0,332.0,8.0,172.5,113.5,117.8
may 2006,"1,486.2","3,408.2","2,111.1","1,334.6","1,089.5","1,146.3",980.3,185.5,"2,336.2",817.6,701.3,336.8,"1,010.8",79.8,848.1,131.2,222.7,"1,153.1",53.2,475.6,203.3,76.2,"1,109.9",321.9,393.2,14.1,189.6,117.2,92.5
jun 2006,"1,231.3","3,407.2","1,874.3","1,197.6",910.6,"1,113.1",954.3,226.3,"2,041.4",583.0,757.7,309.6,"1,050.8",41.8,774.6,202.5,162.8,"1,218.1",52.8,397.3,348.0,88.8,739.5,281.4,378.0,28.5,185.1,46.8,113.8
jul 2006,"1,185.7","3,188.4","1,988.4","1,234.2",796.7,"1,112.2",775.9,189.9,"2,098.2",518.6,742.8,342.1,"1,057.8",12.1,808.4,169.6,185.9,"1,415.7",45.5,442.9,399.8,86.6,"1,310.0",306.1,440.4,22.5,196.1,50.1,123.4
aug 2006,"1,425.8","3,686.9","2,176.1","1,221.2",850.1,"1,193.8",946.2,268.0,"2,209.2",836.9,920.1,342.5,946.4,11.9,894.3,216.9,203.2,"1,560.6",85.5,446.1,293.4,89.2,"1,262.5",298.8,402.3,22.0,187.3,75.5,121.1
sep 2006,"1,855.7","2,971.1","1,684.8","1,287.0",742.1,"1,217.7",830.6,218.8,"2,049.8",728.2,975.2,406.5,906.0,5.5,658.8,366.8,234.0,"1,621.0",62.4,342.3,305.5,81.4,816.2,272.9,311.6,9.4,110.9,39.8,130.5
oct 2006,"1,312.2","3,430.4","1,672.3","1,180.3",509.6,"1,045.7",936.2,351.4,"2,102.7",457.8,853.7,420.4,936.1,12.2,832.3,249.2,265.4,"1,090.8",62.1,311.6,320.1,90.6,"1,048.4",226.9,296.4,23.7,283.7,74.4,125.3
nov 2006,"1,196.7","3,285.3","2,142.4","1,274.7",624.2,996.7,984.7,378.1,"1,871.8",615.6,884.2,535.9,945.3,26.7,611.5,330.9,264.5,960.0,62.3,405.1,307.3,127.9,873.1,261.3,308.7,15.1,146.3,84.0,125.6
dec 2006,"1,450.1","2,712.3","2,520.6","1,507.5",956.1,"1,269.6",804.0,197.6,"2,132.1",763.7,932.6,511.3,"1,097.9",29.9,903.4,531.5,328.2,"1,267.5",75.2,396.6,262.1,142.6,"1,283.8",231.3,395.5,7.8,193.0,48.0,152.6
jan 2007,"1,101.6","2,650.0","1,731.5","1,120.1",444.3,872.5,577.7,287.4,"2,334.8",411.5,613.5,400.1,843.6,5.2,560.4,213.3,192.8,"1,150.4",58.6,346.0,189.9,84.8,595.7,328.3,275.0,19.0,322.5,55.3,70.9
feb 2007,"1,246.5","2,942.0","1,724.6","1,389.8",599.5,"1,082.2",596.8,420.5,"1,648.7",550.8,708.9,511.3,852.7,85.1,818.9,261.5,260.0,"1,226.3",56.6,302.1,165.6,101.3,956.8,233.2,277.4,15.3,126.0,82.2,87.2
mar 2007,"1,389.0","2,617.9","2,046.8","1,459.9",788.7,"1,214.7",927.2,201.9,"1,919.7",642.8,947.4,574.8,949.8,28.2,920.0,320.1,251.7,"1,333.3",64.7,312.0,471.6,131.7,"1,240.1",245.8,301.4,29.5,227.9,79.4,104.8
apr 2007,"1,271.0","3,301.7","1,818.9","1,360.7",438.9,"1,297.2","1,008.0",374.3,"1,762.3",705.3,"1,019.9",739.8,"1,105.3",21.4,745.3,257.8,209.6,"1,276.0",64.4,353.3,212.8,144.3,966.6,226.7,380.1,20.4,377.9,56.3,97.5
may 2007,"1,338.5","4,045.5","2,229.1","1,554.5",659.7,"1,442.2","1,272.2",416.4,"2,111.3",801.3,"1,096.7",541.6,"1,070.4",25.0,669.0,200.8,197.1,"1,324.3",141.3,452.9,419.3,170.1,"1,105.7",216.2,461.2,28.8,182.3,82.1,92.5
jun 2007,"1,338.5","2,959.6","1,903.3","1,315.5",848.8,"1,368.5",935.6,469.6,"1,739.6",518.4,"1,001.1",407.6,"1,111.9",13.8,917.2,206.7,249.5,"1,232.5",80.2,443.0,591.3,148.4,862.2,175.5,449.3,27.5,357.6,49.0,96.2
jul 2007,"1,436.3","3,300.6","2,148.1","1,433.2",653.2,"1,488.7",921.2,596.1,"2,819.5",677.8,"1,081.1",528.8,"1,081.3",66.8,697.6,272.5,225.7,"1,420.5",126.6,381.5,331.4,140.8,"1,417.4",200.9,427.3,17.9,142.1,61.8,111.3
aug 2007,"1,279.6","4,168.2","2,211.5","1,602.4",962.8,"1,519.7",810.2,752.4,"1,988.5",738.3,"1,139.7",881.6,982.0,46.3,"1,049.9",179.9,184.2,"1,411.1",81.5,359.7,389.0,146.9,"1,318.6",164.0,382.0,11.3,369.2,82.2,139.2
sep 2007,"1,189.0","3,735.5","2,231.6","1,545.3",812.1,"1,445.2",811.3,178.0,"2,350.5",609.0,"1,015.1",482.5,"1,101.7",18.2,875.6,212.7,196.1,"1,359.9",66.4,343.4,331.9,157.8,"1,093.4",210.1,455.5,19.1,109.5,88.0,123.3
oct 2007,"1,335.2","4,305.8","2,545.0","1,887.6",695.6,"1,696.3","1,266.3",794.6,"3,018.5",946.1,"1,122.2",689.8,"1,286.1",116.5,"1,175.8",305.0,258.3,"1,464.2",92.4,362.7,481.8,166.2,"1,148.3",210.3,507.5,18.4,236.3,77.2,171.1
nov 2007,"1,497.6","4,311.6","2,779.8","1,704.1",606.5,"1,823.9",950.3,959.7,"2,851.2","1,222.2","1,114.0",999.3,"1,408.3",66.5,"1,188.3",766.8,281.2,"1,472.4",175.3,475.3,343.6,165.9,"1,348.4",276.2,602.3,12.5,174.1,117.5,154.3
dec 2007,"1,472.3","4,541.1","2,975.9","2,161.3",825.0,"1,953.8",953.0,716.8,"2,985.1",860.4,"1,060.8",907.6,"1,504.7",77.2,"1,133.1",814.6,304.0,"1,753.7",121.7,523.6,396.6,170.5,"1,469.8",248.2,632.0,31.9,384.1,76.3,148.8
jan 2008,"1,567.7","4,233.2","2,871.5","1,875.6",637.1,"1,800.2",952.8,620.2,"3,716.0",920.5,720.5,688.1,"1,544.7",66.3,"1,056.1",251.6,469.5,"1,949.7",125.2,547.5,704.5,91.9,632.8,229.3,581.9,19.9,189.6,90.4,91.7
feb 2008,"1,645.3","4,322.1","2,939.2","2,068.3","1,058.9","1,828.6",944.8,676.4,"3,068.7",869.9,920.5,734.9,"1,476.5",52.7,"1,227.8",276.3,271.2,"1,698.8",153.2,607.6,272.9,140.3,550.7,231.6,595.9,46.9,219.3,70.4,109.7
